46092	2014.06.19	02:01:21.270	2	307	0065-0136653169	
46093	2014.06.19	02:01:21.962	1	1690	0065-0136653169	
46094	2014.06.19	02:02:18.871	1	327	0065-0136653169	
46095	2014.06.19	02:02:19.313	2	1700	0065-0136653169	
46101	2014.06.19	02:03:30.796	1	514	0065-0136651817	
46102	2014.06.19	02:03:32.401	4	1092	0065-0136670531	
46103	2014.06.19	02:03:33.769	3	1830	0065-0136670531	
46104	2014.06.19	02:03:31.509	2	4583	0065-0136651817	
46105	2014.06.19	02:03:36.398	2	215	0065-0136651817	
46106	2014.06.19	02:03:42.892	3	907	0065-0136667521	
46107	2014.06.19	02:03:43.903	4	508	0065-0136667521	
46108	2014.06.19	02:03:43.994	3	2885	0065-0136671473	
46109	2014.06.19	02:03:48.068	3	307	0065-0136651817	
46110	2014.06.19	02:03:48.423	4	310	0065-0136651817	
46111	2014.06.19	02:03:50.947	4	215	0065-0136651817	
46112	2014.06.19	02:03:51.151	3	214	0065-0136651817	
46113	2014.06.19	02:04:02.792	2	371	0065-0136651817	
46114	2014.06.19	02:04:03.125	1	412	0065-0136651817	
46119	2014.06.19	02:04:34.830	4	410	0065-0136655780	
46120	2014.06.19	02:04:35.390	3	1785	0065-0136655780	
46121	2014.06.19	02:05:41.507	4	619	0065-0136651817	
46122	2014.06.19	02:05:42.297	3	3825	0065-0136651817	
46123	2014.06.19	02:05:53.139	2	350	0065-0136651817	
46124	2014.06.19	02:05:53.496	1	457	0065-0136651817	
46125	2014.06.19	02:05:59.726	1	313	0065-0136651817	
46126	2014.06.19	02:06:00.153	2	1289	0065-0136651817	
46127	2014.06.19	02:06:09.039	3	5133	0065-0136660676	
46128	2014.06.19	02:06:14.319	4	1197	0065-0136660676	
46129	2014.06.19	02:06:47.255	3	2194	0065-0136665886	
46130	2014.06.19	02:06:49.639	4	1984	0065-0136665886	
46131	2014.06.19	02:07:43.441	3	710	0065-0136651817	
46132	2014.06.19	02:07:44.239	4	1463	0065-0136651817	
46133	2014.06.19	02:07:45.868	4	622	0065-0136651817	
46134	2014.06.19	02:07:46.539	4	610	0065-0136651817	
46139	2014.06.19	02:09:12.500	1	313	0065-0136651817	
46140	2014.06.19	02:09:12.827	2	1406	0065-0136651817	
46141	2014.06.19	02:09:14.280	2	212	0065-0136651817	
46142	2014.06.19	02:09:29.617	3	2382	0065-0136653169	
46143	2014.06.19	02:09:32.335	4	2755	0065-0136653169	
46144	2014.06.19	02:09:37.780	3	2278	0065-0136651817	
46145	2014.06.19	02:09:40.193	4	2019	0065-0136651817	
46153	2014.06.19	02:10:08.501	1	223	0065-0136660676	
46155	2014.06.19	02:10:08.824	2	2392	0065-0136660676	
46160	2014.06.19	02:11:09.739	1	415	0065-0136667521	
46161	2014.06.19	02:11:10.398	2	3872	0065-0136667521	
46162	2014.06.19	02:11:23.890	3	1004	0065-0136667521	
46163	2014.06.19	02:11:25.097	4	2673	0065-0136667521	
46164	2014.06.19	02:11:38.164	4	307	0065-0136651817	
46165	2014.06.19	02:11:38.492	3	3022	0065-0136651817	
46166	2014.06.19	02:11:44.452	3	682	0065-0136651817	
46168	2014.06.19	02:11:52.670	2	354	0065-0136651817	
46170	2014.06.19	02:11:53.153	1	1097	0065-0136651817	
46173	2014.06.19	02:11:59.030	1	213	0065-0136653169	
46174	2014.06.19	02:11:59.412	2	1316	0065-0136653169	
46183	2014.06.19	02:12:38.947	1	216	0065-0136667521	
